Episodes,Reward,CumReward,Timesteps
621,-2,1513,6
622,-2,1511,6
623,0,1511,4
624,2,1513,3
625,1,1514,4
626,-1,1513,5
627,2,1515,3
628,0,1515,4
629,-1,1514,5
630,-1,1513,5
631,-2,1511,5
632,1,1512,4
633,0,1512,4
634,-3,1509,7
635,-6,1503,7
636,1,1504,4
637,1,1505,4
638,-1,1504,5
639,-2,1502,5
640,-1,1501,5
641,2,1503,3
642,0,1503,4
643,-5,1498,7
644,-9,1489,4
645,0,1489,4
646,0,1489,4
647,-3,1486,6
648,-3,1483,6
649,-3,1480,6
650,0,1480,4
651,-1,1479,5
652,0,1479,4
653,-1,1478,5
654,-1,1477,5
655,1,1478,4
656,-4,1474,6
657,-3,1471,6
658,2,1473,3
659,-3,1470,6
660,-1,1469,5
661,-2,1467,5
662,0,1467,5
663,-8,1459,3
664,1,1460,4
665,-5,1455,7
666,-2,1453,5
667,1,1454,4
668,-2,1452,5
669,1,1453,4
670,98,1551,6
671,-6,1545,8
672,1,1546,4
673,2,1548,3
674,0,1548,4
675,99,1647,6
676,-5,1642,7
677,-9,1633,9
678,1,1634,4
679,-1,1633,5
680,91,1724,9
681,-11,1713,5
682,-2,1711,5
683,1,1712,4
684,-10,1702,4
685,2,1704,3
686,1,1705,4
687,0,1705,4
688,-1,1704,5
689,0,1704,4
690,-1,1703,5
691,-8,1695,3
692,-8,1687,3
693,89,1776,5
694,-4,1772,7
695,-1,1771,5
696,-2,1769,5
697,-2,1767,6
698,-10,1757,4
699,0,1757,4
700,-4,1753,7
701,-1,1752,5
702,0,1752,4
703,-2,1750,5
704,2,1752,3
705,1,1753,4
706,-1,1752,5
707,1,1753,4
708,-10,1743,5
709,1,1744,4
710,0,1744,4
711,0,1744,4
712,-5,1739,7
713,1,1740,4
714,-5,1735,7
715,-10,1725,5
716,1,1726,4
717,-7,1719,3
718,1,1720,4
719,-13,1707,7
720,-4,1703,7
721,-2,1701,5
722,2,1703,3
723,0,1703,4
724,88,1791,6
725,0,1791,4
726,0,1791,4
727,-7,1784,8
728,0,1784,4
729,-3,1781,6
730,0,1781,5
731,-1,1780,5
732,-4,1776,6
733,-2,1774,5
734,-10,1764,4
735,-3,1761,6
736,-4,1757,6
737,1,1758,4
738,2,1760,3
739,-3,1757,6
740,2,1759,3
741,-1,1758,5
742,-1,1757,5
743,2,1759,3
744,-2,1757,5
745,-7,1750,3
746,0,1750,4
747,-6,1744,7
748,0,1744,5
749,0,1744,4
750,-1,1743,5
751,-2,1741,5
752,-1,1740,5
753,-2,1738,6
754,2,1740,3
755,-3,1737,6
756,0,1737,4
757,-3,1734,6
758,-7,1727,8
759,-2,1725,5
760,2,1727,3
761,-1,1726,5
762,2,1728,3
763,1,1729,4
764,2,1731,3
765,-1,1730,5
766,0,1730,5
767,0,1730,4
768,0,1730,4
769,-9,1721,4
770,-3,1718,6
